disease,description
Drug Reaction,"• A drug reaction is an unwanted response that occurs after taking a medicine.
• Symptoms can include skin rash, itching, hives, swelling, fever, or other changes depending on the medicine and reaction.
• A reaction may occur after starting a new medicine, changing the dose, or occasionally after repeated use.
• Do not assume that every new symptom is caused by a medicine; a healthcare professional should assess the situation.
• Seek urgent medical care for breathing difficulty, swelling of the lips or tongue, fainting, or a rapidly worsening reaction.
• Keep a record of medicines that have caused suspected reactions and tell healthcare professionals about them."
Malaria,"• Malaria is an infection caused by parasites transmitted through the bites of infected Anopheles mosquitoes.
• Common symptoms include fever, chills, sweating, headache, body aches, weakness, nausea, and sometimes vomiting.
• Symptoms may occur in episodes and can become serious if treatment is delayed.
• Malaria is diagnosed with appropriate blood testing; symptoms alone are not enough to confirm it.
• Prompt medical treatment is important because severe malaria can affect the brain, kidneys, blood, and other organs.
• High fever with confusion, seizures, difficulty breathing, severe weakness, or loss of consciousness requires emergency care."
Allergy,"• An allergy occurs when the body's immune system reacts strongly to a substance that is usually harmless.
• Possible symptoms include sneezing, a runny or blocked nose, itchy or watery eyes, skin itching, rashes, or swelling.
• Common triggers include dust, pollen, animal dander, certain foods, medicines, insect stings, or other substances.
• Symptoms may appear soon after exposure or may develop gradually.
• Identifying and avoiding the trigger is an important part of managing allergies.
• Severe swelling of the face or throat, difficulty breathing, dizziness, or fainting can be an emergency and requires immediate medical attention."
Hypothyroidism,"• Hypothyroidism occurs when the thyroid gland does not produce enough thyroid hormones.
• Symptoms can include tiredness, feeling unusually cold, weight gain, dry skin, constipation, slowed thinking, or low energy.
• Some people may develop a slow heart rate, muscle weakness, or changes in hair or menstrual patterns.
• Symptoms often develop gradually and can overlap with many other conditions.
• Blood tests are needed to diagnose hypothyroidism accurately.
• Treatment commonly involves thyroid hormone replacement prescribed and monitored by a healthcare professional."
Psoriasis,"• Psoriasis is a long-term inflammatory skin condition that causes skin cells to build up too quickly.
• It commonly produces well-defined, thickened patches covered with whitish or silvery scales, often on the elbows, knees, scalp, or lower back.
• The affected skin may itch, crack, or feel painful.
• Psoriasis is not contagious and cannot be spread by touching another person.
• Symptoms can flare and improve over time, and treatment can help control the condition.
• Extensive skin involvement, painful joints, or rapidly worsening symptoms should be evaluated by a healthcare professional."
GERD,"• GERD (gastroesophageal reflux disease) occurs when stomach contents repeatedly flow backward into the food pipe.
• Common symptoms include burning in the chest (heartburn), a sour or bitter taste, regurgitation, and discomfort after meals.
• Some people also experience coughing, throat irritation, hoarseness, or difficulty swallowing.
• Symptoms may become worse after large meals, lying down soon after eating, or eating certain trigger foods.
• Eating smaller meals and avoiding lying down for a few hours after eating may help reduce symptoms.
• Persistent or severe symptoms should be evaluated by a healthcare professional."
Chronic cholestasis,"• Chronic cholestasis occurs when the normal flow of bile from the liver is reduced or blocked over a long period.
• Possible symptoms include persistent itching, yellowing of the skin or eyes, dark urine, pale stools, and tiredness.
• Some people may also have abdominal discomfort or digestive problems.
• The condition can have several causes and may require blood tests and imaging to identify the underlying problem.
• Long-term cholestasis can affect liver health and should not be ignored.
• Medical evaluation is important, especially when jaundice or persistent itching develops."
hepatitis A,"• Hepatitis A is a viral infection that affects the liver.
• It is commonly spread through contaminated food or water or close contact with an infected person.
• Symptoms can include tiredness, loss of appetite, nausea, abdominal discomfort, fever, dark urine, pale stools, and yellowing of the skin or eyes.
• Some infected people, especially young children, may have few or no symptoms.
• Good hand hygiene and safe food and water practices help reduce transmission.
• Medical evaluation is important when hepatitis A is suspected, especially if jaundice, persistent vomiting, severe abdominal pain, or dehydration occurs."
Osteoarthristis,"• Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide.
• It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
(vertigo) Paroymsal  Positional Vertigo,"• Benign paroxysmal positional vertigo (BPPV) is a common inner-ear condition that causes brief episodes of spinning or a sensation that the surroundings are moving.
• Attacks are often triggered by changing the position of the head, such as turning in bed, looking up, or bending over.
• Nausea or unsteadiness may occur during an episode.
• BPPV is usually caused by tiny crystals in the inner ear moving into the wrong place.
• A healthcare professional can assess the condition and may use specific repositioning movements to treat it.
• Vertigo with new weakness, difficulty speaking, severe headache, fainting, or inability to walk normally requires urgent medical assessment."
