disease,precaution_1,precaution_2,precaution_3,precaution_4
Drug Reaction,"• Keep an updated list of all medicines, supplements, and products you use.
• Tell every healthcare professional about previous medicine reactions before starting a new medicine.
• Do not restart a medicine that caused a serious reaction unless specifically instructed by a qualified healthcare professional.
• Do not share prescription medicines with other people.
• Follow the prescribed dose and schedule; do not take extra doses to compensate for a missed dose unless instructed.
• Check with a pharmacist or healthcare professional before combining medicines, over-the-counter products, or supplements.
• Parents and caregivers should verify age-appropriate doses for babies and children.
• Pregnant or breastfeeding women should consult a healthcare professional before taking new medicines.
• Older adults should have regular medication reviews because drug interactions and side effects can be more likely.
• Emergency symptoms such as breathing difficulty, throat/tongue swelling, fainting, or widespread blistering require immediate medical attention.",consult nearest hospital,stop taking drug,follow up
Malaria,"• Seek medical testing promptly when malaria is suspected, especially after travel or residence in a malaria-risk area.
• Take antimalarial treatment exactly as prescribed and complete the recommended course.
• Use mosquito nets, repellents, protective clothing, and screened or air-conditioned rooms in malaria-risk areas.
• Reduce mosquito exposure especially from dusk through dawn when relevant to the local mosquito species.
• Do not self-treat with leftover antimalarial medicines because treatment depends on the parasite and geographic area.
• Pregnant women should seek prompt medical care for suspected malaria because malaria can be more serious during pregnancy.
• Children and babies with fever after possible malaria exposure should receive prompt medical evaluation.
• Older adults and people with weakened immunity may be at higher risk of severe illness and should seek care early.
• High fever with confusion, seizures, breathing difficulty, severe weakness, jaundice, or loss of consciousness requires emergency care.",avoid oily food,avoid non veg food,keep mosquitos out
Allergy,"• Identify and avoid known allergy triggers whenever possible.
• Keep windows and indoor areas clean if dust or pollen triggers symptoms; wash bedding regularly.
• Wash hands and face after outdoor exposure when pollen is a known trigger.
• Avoid smoke, strong fragrances, and other irritants that worsen symptoms.
• Take prescribed allergy medicines exactly as directed and do not exceed the recommended dose.
• Keep a written list of known medicine and food allergies and show it to healthcare professionals.
• For children and babies, use only age-appropriate medicines and doses recommended by a healthcare professional.
• Pregnant or breastfeeding women should ask a healthcare professional before starting allergy medicines.
• People with a history of severe allergic reactions should follow their emergency action plan and carry prescribed emergency medication when advised.
• Difficulty breathing, throat or tongue swelling, fainting, or rapidly worsening symptoms require emergency medical attention.",cover area with bandage,,use ice to compress itching
Hypothyroidism,"• Take prescribed thyroid hormone medicine consistently, usually at the same time each day as instructed.
• Follow instructions about taking thyroid medicine in relation to food and other medicines.
• Attend regular thyroid blood tests so the dose can be adjusted safely.
• Do not change or stop thyroid medicine based only on symptoms.
• Do not take high-dose iodine or thyroid supplements unless specifically recommended.
• Pregnant women with hypothyroidism need timely thyroid testing and dose monitoring because thyroid hormone requirements can change during pregnancy.
• Children with suspected hypothyroidism require prompt evaluation because thyroid hormone is important for growth and development.
• Older adults may be more sensitive to changes in thyroid hormone levels and should have doses adjusted carefully.
• Report new palpitations, chest pain, severe weakness, or major changes after a dose adjustment.
• Seek medical advice for severe symptoms or signs of a serious complication rather than increasing medicine yourself.",exercise,eat healthy,get proper sleep
Psoriasis,"• Use prescribed skin treatments consistently and follow the recommended application schedule.
• Keep the skin moisturized to reduce dryness and cracking.
• Avoid scratching or picking plaques.
• Identify personal triggers such as skin injury, stress, infections, smoking, or alcohol and discuss them with a healthcare professional.
• Do not stop systemic psoriasis medicines suddenly without medical advice.
• Protect the skin from burns; if phototherapy is prescribed, follow the exact exposure schedule.
• Pregnant women should review psoriasis medicines with a healthcare professional because some treatments are not suitable during pregnancy.
• Children with extensive or persistent psoriasis should receive age-appropriate dermatology care.
• Older adults should have medicine interactions and infection risks reviewed when systemic treatment is used.
• New painful or swollen joints may indicate psoriatic arthritis and should be assessed.
• Widespread redness, severe skin pain, fever, or rapidly worsening symptoms requires urgent medical attention.",stop bleeding using pressure,consult doctor,salt baths
GERD,"• Eat smaller meals rather than very large meals.
• Avoid lying down for about 2–3 hours after eating.
• Identify and limit foods that clearly trigger your symptoms, such as fatty foods, spicy foods, chocolate, caffeine, or acidic foods.
• Maintain a healthy weight when medically appropriate because excess abdominal weight can worsen reflux.
• Raise the head of the bed if nighttime reflux is frequent; simply using extra pillows may not provide the same effect.
• Avoid smoking and limit alcohol because they can worsen reflux symptoms.
• Take prescribed reflux medicines according to the healthcare professional's instructions.
• Pregnant women may experience increased reflux; discuss persistent symptoms and medicine choices with a healthcare professional.
• Children with frequent reflux, poor weight gain, feeding problems, or breathing-related symptoms should be assessed by a pediatric professional.
• Seek urgent care for vomiting blood, black stools, severe chest pain, fainting, or significant difficulty swallowing.",avoid lying down after eating,maintain healthy weight,exercise
Chronic cholestasis,"• Follow regular liver-function monitoring and medical appointments.
• Avoid alcohol unless a healthcare professional confirms that it is safe.
• Do not start herbal products, supplements, or non-prescribed medicines without checking with a healthcare professional because some can injure the liver.
• Take prescribed medicines consistently and report new side effects.
• Maintain a balanced diet and follow any nutrition plan recommended for liver or bile-flow problems.
• Discuss vitamin supplementation with a healthcare professional if bile-flow problems may affect absorption of fat-soluble vitamins.
• Keep skin moisturized and avoid very hot baths if itching is severe.
• Pregnant women with new or severe itching, especially without a visible rash, should seek medical evaluation promptly.
• Older adults should review all medicines with a healthcare professional because multiple medicines can affect liver function.
• Seek urgent care for severe abdominal pain, confusion, bleeding, rapidly worsening jaundice, or severe weakness.",anti itch medicine,consult doctor,eat healthy
hepatitis A,"• Rest and maintain adequate fluid intake unless fluid restriction has been prescribed.
• Avoid alcohol while recovering and follow liver-related medical advice.
• Wash hands thoroughly with soap and water, especially after using the toilet and before handling food.
• Avoid preparing food for others while infectious according to public-health guidance.
• Use safe drinking water and properly cooked food.
• Do not share personal items that may be contaminated with body fluids.
• Follow medical advice about vaccination and post-exposure prevention for household or close contacts.
• Pregnant women with suspected hepatitis A should seek medical advice promptly.
• Children may have mild or no symptoms but can still spread infection; follow public-health guidance about school or childcare.
• Older adults and people with chronic liver disease may be at higher risk of severe illness and should seek medical care promptly when symptoms develop.
• Severe vomiting, dehydration, confusion, bleeding, or rapidly worsening jaundice requires urgent medical care.",wash hands through,avoid fatty spicy food,medication
Osteoarthristis,• acetaminophen.,consult nearest hospital,follow up,salt baths
(vertigo) Paroymsal  Positional Vertigo,"• Move slowly when changing head or body position if sudden movement triggers spinning.
• Sit or lie down immediately if an attack begins to reduce the risk of falling.
• Remove trip hazards and use support when walking if balance is affected.
• Follow professionally recommended repositioning exercises when BPPV has been confirmed.
• Do not drive, climb ladders, or operate machinery while severe dizziness is present.
• Stay adequately hydrated unless fluid restriction has been prescribed.
• Pregnant women with persistent or severe dizziness should be assessed because not all vertigo is BPPV.
• Children with recurrent vertigo should receive medical evaluation rather than being assumed to have BPPV.
• Older adults have a higher risk of falls; home safety measures and mobility support may be especially important.
• Vertigo with new weakness, severe headache, fainting, double vision, speech difficulty, or inability to walk requires urgent medical assessment.",avoid sudden change in body,avoid abrupt head movment,relax
Hypoglycemia,"• Know the warning signs of low blood sugar, such as sweating, shaking, hunger, dizziness, confusion, and fast heartbeat.
• Carry a fast-acting source of glucose if your healthcare professional has advised you that you are at risk.
• Follow your individualized diabetes plan for treating low blood sugar.
• Do not drive or operate machinery if you are experiencing symptoms of hypoglycemia.
• Review diabetes medicines with a healthcare professional if low blood sugar episodes are repeated.
• Do not skip meals when using medicines that can cause hypoglycemia unless your treatment plan specifically allows it.
• Caregivers of children should know how to recognize and respond to low blood sugar according to the child's medical plan.
• Pregnant women with diabetes should discuss glucose targets and hypoglycemia management with their healthcare team.
• Older adults may have less obvious warning symptoms and should have medication and glucose targets reviewed regularly.
• Seizures, loss of consciousness, severe confusion, or inability to swallow safely requires emergency assistance.",check in pulse,drink sugary drinks,consult doctor
Acne,"• Wash affected skin gently with a mild cleanser; avoid aggressive scrubbing.
• Avoid squeezing or picking pimples because this can increase inflammation, scarring, and dark marks.
• Use non-comedogenic skin-care and cosmetic products when possible.
• Follow acne treatment consistently and give it adequate time to work.
• Do not use multiple harsh acne products at the same time unless recommended because excessive irritation can worsen the skin.
• Change pillowcases and clean items that regularly contact the face when appropriate.
• Pregnant women should ask a healthcare professional before using acne medicines because some treatments are unsafe during pregnancy.
• Teenagers should use age-appropriate products and avoid adult prescription medicines without professional guidance.
• Older adults with new acne-like eruptions should have the cause assessed because other skin conditions or medicines can produce similar lesions.
• Severe painful acne, rapidly worsening lesions, or scarring should be evaluated by a healthcare professional.",avoid fatty spicy food,drink plenty of water,avoid too many products
Diabetes,"• Monitor blood glucose as recommended and keep a record when your healthcare professional asks you to do so.
• Take diabetes medicines or insulin exactly as prescribed.
• Eat regular, balanced meals and avoid repeatedly skipping meals when using medicines that can cause low blood sugar.
• Stay physically active according to your healthcare professional's advice.
• Inspect your feet regularly for cuts, blisters, redness, swelling, or wounds and seek care for injuries that do not heal.
• Maintain regular eye, kidney, blood-pressure, and cholesterol checks as recommended.
• Avoid smoking and limit alcohol because both can increase diabetes-related risks.
• Carry a source of fast-acting glucose if you have been advised that you are at risk of hypoglycemia.
• Pregnant women with diabetes or diabetes during pregnancy require closer blood-sugar monitoring and pregnancy-specific medical guidance.
• Children and adolescents with diabetes need age-appropriate monitoring and support from caregivers and healthcare professionals.
• Older adults may have less obvious symptoms of low blood sugar; medication doses should be reviewed regularly.
• Confusion, loss of consciousness, severe breathing difficulty, or signs of very high or very low blood sugar require urgent medical care.",exercise,consult doctor,follow up
Impetigo,"• Keep infected areas clean and follow the treatment prescribed by a healthcare professional.
• Wash hands thoroughly after touching the affected skin or applying treatment.
• Do not share towels, bedding, clothing, razors, or other personal items.
• Keep fingernails short and discourage scratching, especially in children.
• Wash clothing, towels, and bedding regularly according to healthcare guidance.
• Keep children away from school or childcare for the period recommended by local guidance and the treating professional.
• Pregnant women should seek medical advice for treatment choices rather than self-treating.
• Babies and young children with rapidly spreading sores, fever, or poor feeding need prompt assessment.
• Older adults or people with weakened immunity should seek care early if the infection spreads.
• Rapidly spreading redness, swelling, fever, severe pain, or infection near the eyes requires prompt medical attention.",use antibiotics,remove scabs with wet compressed cloth,consult doctor
Hypertension,"• Check blood pressure regularly as recommended and keep a record if advised.
• Take prescribed blood-pressure medicines consistently and do not stop them suddenly without medical advice.
• Limit excess dietary salt and choose a balanced diet rich in vegetables, fruits, whole grains, and appropriate protein sources.
• Maintain regular physical activity suitable for your age and health status.
• Avoid smoking and limit alcohol.
• Maintain a healthy weight when medically appropriate.
• Manage sleep and stress as part of overall cardiovascular health.
• Pregnant women should have regular blood-pressure monitoring because pregnancy-related hypertension can become serious.
• Children and teenagers with repeated high blood pressure require proper medical evaluation rather than adult self-treatment.
• Older adults should stand up slowly if medicines cause dizziness and should have medication doses reviewed when falls or low blood pressure occur.
• Chest pain, severe shortness of breath, weakness on one side, confusion, vision loss, or severe headache with very high blood pressure requires urgent medical care.",salt baths,reduce stress,get proper sleep
Peptic ulcer diseae,• avoid fatty spicy food.,consume probiotic food,eliminate milk,limit alcohol
Dimorphic hemmorhoids(piles),"• Increase dietary fiber gradually through vegetables, fruits, whole grains, and other appropriate high-fiber foods.
• Drink adequate fluids unless a healthcare professional has advised fluid restriction.
• Avoid straining during bowel movements and do not sit on the toilet for unnecessarily long periods.
• Stay physically active to help maintain regular bowel movements.
• Keep the anal area clean and dry without excessive scrubbing.
• Use treatments recommended by a healthcare professional rather than prolonged self-treatment.
• Pregnant women commonly develop hemorrhoids; discuss persistent bleeding or severe pain with an obstetric or healthcare professional.
• Children with rectal bleeding should be medically assessed rather than assuming it is hemorrhoids.
• Older adults with new rectal bleeding should be evaluated because bleeding can have causes other than hemorrhoids.
• Heavy bleeding, dizziness, black stools, severe pain, or fainting requires prompt medical care.",consume witch hazel,warm bath with epsom salt,consume alovera juice
Common Cold,"• Wash hands regularly and avoid touching the eyes, nose, and mouth unnecessarily.
• Cover coughs and sneezes with a tissue or the elbow and dispose of tissues properly.
• Avoid close contact with others when actively ill, especially vulnerable people.
• Rest adequately and drink enough fluids.
• Use medicines only according to the recommended age and dose.
• Do not give aspirin to children or teenagers unless specifically advised by a healthcare professional.
• Babies and young children with poor feeding, reduced urination, breathing difficulty, or unusual sleepiness should be assessed promptly.
• Pregnant women should check with a healthcare professional before taking cold medicines, especially combination products.
• Older adults may develop complications more easily and should seek advice when symptoms are severe or worsening.
• Seek medical care for significant breathing difficulty, persistent high fever, chest pain, confusion, dehydration, or worsening symptoms.",take vapour,avoid cold food,keep fever in check
Chicken pox,"• Avoid close contact with people who are pregnant, immunocompromised, newborn, or not immune to chickenpox while contagious.
• Keep fingernails short and avoid scratching to reduce skin infection and scarring.
• Keep the skin clean and use gentle measures recommended by a healthcare professional to reduce itching.
• Do not give aspirin to children or teenagers with chickenpox unless specifically directed by a healthcare professional.
• Use age-appropriate fever or pain medicines according to professional advice.
• Children should stay home from school or childcare until the lesions have crusted over and local guidance is met.
• Pregnant women exposed to chickenpox or developing symptoms should contact a healthcare professional promptly.
• Newborn babies and people with weakened immune systems may need urgent specialist advice after exposure.
• Seek medical care if skin lesions become increasingly red, swollen, painful, or produce pus.
• Breathing difficulty, severe headache, confusion, persistent vomiting, or rapidly worsening illness requires urgent medical attention.",consume neem leaves,take vaccine,avoid public places
Cervical spondylosis,"• Maintain good neck and upper-body posture during study, work, and screen use.
• Take regular movement breaks rather than keeping the neck in one position for long periods.
• Use exercises or physiotherapy recommended by a qualified professional.
• Avoid forceful neck manipulation or unapproved exercises that increase pain or neurological symptoms.
• Use prescribed pain medicines according to instructions and avoid combining medicines without professional advice.
• Use an appropriately supportive sleeping position and pillow that keeps the neck comfortable.
• Older adults should take extra care with balance and fall prevention if neck symptoms affect walking or stability.
• Pregnant women should ask a healthcare professional before using pain medicines or starting new treatments.
• Children with persistent neck pain, weakness, or neurological symptoms need professional assessment rather than assuming age-related spondylosis.
• New weakness, difficulty walking, loss of coordination, or bladder/bowel control problems require prompt medical assessment.",exercise,take otc pain reliver,consult doctor
Hyperthyroidism,"• Take prescribed treatment exactly as directed and attend thyroid blood-test appointments.
• Do not start iodine-containing supplements or thyroid products without medical advice.
• Limit excessive caffeine if it worsens palpitations, tremor, or anxiety.
• Protect the eyes from irritation if thyroid eye symptoms occur and follow specialist advice.
• Pregnant women with hyperthyroidism need specialist monitoring because both uncontrolled disease and some medicines can affect pregnancy.
• Children and adolescents with suspected hyperthyroidism should receive specialist evaluation.
• Older adults may have less obvious symptoms but can develop serious heart complications; regular monitoring is important.
• Report fever, severe sore throat, or unusual illness promptly if taking antithyroid medicines because rare but serious blood complications can occur.
• Seek urgent care for very fast or irregular heartbeat, severe weakness, confusion, high fever, or severe worsening symptoms.",massage,use lemon balm,take radioactive iodine treatment
Urinary tract infection,"• Drink adequate fluids unless a healthcare professional has advised fluid restriction.
• Do not delay urination for long periods when you need to go.
• Maintain good personal hygiene and wipe from front to back after using the toilet when applicable.
• Urinate after sexual activity if this has been recommended as part of your prevention plan.
• Take prescribed antibiotics exactly as directed and complete the course.
• Do not use leftover antibiotics or share antibiotics with others.
• Pregnant women with UTI symptoms should seek prompt medical evaluation because untreated infection can cause complications.
• Babies and young children with fever, poor feeding, vomiting, or unusual sleepiness need prompt medical assessment because they may not describe urinary symptoms.
• Older adults with fever, weakness, confusion, or urinary symptoms should be assessed promptly.
• Fever with back or side pain, vomiting, severe weakness, or confusion can indicate kidney involvement and requires prompt medical care.",increase vitamin c intake,drink cranberry juice,take probiotics
